Brand/Company Name,Audience Segment,Audience List Type,Impressions,Clicks,Total Conversions,Gross Cost,Net Cost
Choose your advertiser name,Voluntary Churn Likely_60 Days,First Party,545624,93,0,840.207946,269.7067507
Choose your advertiser name,12 Years a Slave (2013) - Trailers,First Party,1,0,0,0.00039,0.00012519
Choose your advertiser name,14-Day Purchasers,First Party,622,0,0,2.001355,0.642434955
Choose your advertiser name,170920 - NBCNews - liked,First Party,12347,2,0,21.549243,6.917307003
Choose your advertiser name,170920 - NBCNews - playlist,First Party,5202,-1,0,9.127297,2.929862337
Choose your advertiser name,170920 - NBCNews - subscribed,First Party,10984,4,0,20.188735,6.480583935
Choose your advertiser name,170920 - NBCNews - viewed ad,First Party,20,0,0,0.105063,0.033725223
Choose your advertiser name,170920 - NBCNews - viewed any,First Party,275835,129,0,485.952038,155.9906042
Choose your advertiser name,170920 - NBCNews - visited channel,First Party,6097,3,0,10.791729,3.464145009
Choose your advertiser name,170921 - MSNBC - liked,First Party,11780,4,0,19.406941,6.229628061
Choose your advertiser name,170921 - MSNBC - playlist,First Party,6963,4,0,11.554622,3.709033662
Choose your advertiser name,170921 - MSNBC - subscribed,First Party,13166,7,0,22.743338,7.300611498
Choose your advertiser name,170921 - MSNBC - viewed ad,First Party,162,0,0,0.241068,0.077382828
Choose your advertiser name,170921 - MSNBC - viewed any,First Party,193831,77,0,326.280099,104.7359118
Choose your advertiser name,170921 - MSNBC - visited channel,First Party,7727,1,0,12.627963,4.053576123
Choose your advertiser name,180419 - NBC Left Field - Subscribed,First Party,5221,3,0,9.763513,3.134087673
Choose your advertiser name,1P3P_(Spanish Dominant),First Party,110984,18,0,191.234196,61.38617692
Choose your advertiser name,1P3P_ALL_ (Spanish Preferred Some English),First Party,137861,42,0,236.93374,76.05573054
Choose your advertiser name,1PD_AnnaKarenina_AllVideos,First Party,215,0,0,0.321084,0.103067964
Choose your advertiser name,1PD_AsteroidCity_Trailer,First Party,8600,4,0,14.818104,4.756611384
Choose your advertiser name,1PD_AThousandAndOne_AllVideos,First Party,6158,3,0,11.861319,3.807483399
Choose your advertiser name,1PD_AThousandAndOne_Trailer,First Party,1125,0,0,2.036957,0.653863197
Choose your advertiser name,1PD_AtomicBlonde_AllVideos,First Party,209,0,0,0.332033,0.106582593
Choose your advertiser name,1PD_Atonement_AllVideos,First Party,24,0,0,0.044575,0.014308575
Choose your advertiser name,1PD_BookClub_AllVideos,First Party,4739,3,0,8.788561,2.821128081
Choose your advertiser name,1PD_BookClub_Trailer,First Party,2618,2,0,4.561772,1.464328812
Choose your advertiser name,1PD_BookClub_Trailer,First Party,112,1,0,0.178278,0.057227238
Choose your advertiser name,1PD_BurnAfterReading_AllVideos,First Party,3,0,0,0.004001,0.001284321
Choose your advertiser name,1PD_Champions_AllVideos,First Party,3638,2,0,6.547243,2.101665003
Choose your advertiser name,1PD_DarkestHour_AllVideos,First Party,458,0,0,0.64384,0.20667264
Choose your advertiser name,1PD_DazedAndConfused_AllVideos,First Party,53,0,0,0.073687,0.023653527
Choose your advertiser name,1PD_DriveAwayDolls_AllVideos,First Party,1214,0,0,2.073929,0.665731209
Choose your advertiser name,1PD_DriveAwayDolls_Trailer,First Party,1198,0,0,1.955889,0.627840369
Choose your advertiser name,1PD_EveryBody_AllVideos,First Party,907,0,0,1.556798,0.499732158
Choose your advertiser name,1PD_EveryBody_Trailer,First Party,835,2,0,1.426966,0.458056086
Choose your advertiser name,1PD_GreekWedding3_AllVideos,First Party,2455,0,0,4.180247,1.341859287
Choose your advertiser name,1PD_GreekWedding3_Trailer,First Party,2514,1,0,4.272664,1.371525144
Choose your advertiser name,1PD_Harriet_CynthiaErivo_StandUp-MusicVideos,First Party,2183,2,0,4.054255,1.301415855
Choose your advertiser name,1PD_Inside_AllVideos,First Party,3849,1,0,7.188197,2.307411237
Choose your advertiser name,1PD_JaneAusten_AllVideos,First Party,690,0,0,1.07449,0.34491129
